year,month,rank_GPA,nstocks,ret_vw
1971,10,6,196,-8.1695
1971,10,7,204,-5.5929
1971,10,8,175,-4.5236
1971,10,9,219,-2.7191
1971,10,10,209,-2.5556
1971,11,1,159,-2.2555
1971,11,2,145,-0.8065
1971,11,3,159,-0.7119
1971,11,4,178,-0.3826
1971,11,5,198,-0.4264
1971,11,6,196,-1.2179
1971,11,7,204,-0.8284
1971,11,8,175,1.6967
1971,11,9,219,1.3103
1971,11,10,209,0.4882
1971,12,1,159,9.3667
1971,12,2,145,9.7512
1971,12,3,159,9.5517
1971,12,4,178,6.8808
1971,12,5,197,9.0342
1971,12,6,195,10.7950
1971,12,7,204,8.0955
1971,12,8,175,10.0529
1971,12,9,219,9.7395
1971,12,10,209,9.1329
1972,1,1,159,3.0365
1972,1,2,144,0.2869
1972,1,3,159,2.1870
1972,1,4,177,0.8700
1972,1,5,197,2.1760
1972,1,6,195,3.8422
1972,1,7,204,4.5683
1972,1,8,175,4.9167
1972,1,9,219,3.6828
1972,1,10,208,1.5905
1972,2,1,159,-0.6590
1972,2,2,143,0.8935
1972,2,3,159,2.0432
1972,2,4,176,1.7843
1972,2,5,197,1.4659
1972,2,6,195,4.2756
1972,2,7,203,3.5894
1972,2,8,174,6.6624
1972,2,9,219,4.5772
1972,2,10,208,5.5156
1972,3,1,158,-0.6408
1972,3,2,143,-1.3497
1972,3,3,159,-1.5070
1972,3,4,176,1.4319
1972,3,5,197,-1.7725
1972,3,6,195,0.0997
1972,3,7,203,2.8931
1972,3,8,174,1.0620
1972,3,9,219,2.3306
1972,3,10,208,1.5805
1972,4,1,157,-1.4018
1972,4,2,143,-2.2209
1972,4,3,159,0.6527
1972,4,4,176,-0.8928
1972,4,5,197,1.7421
1972,4,6,193,1.3448
1972,4,7,202,1.5685
1972,4,8,174,1.9770
1972,4,9,219,0.0813
1972,4,10,208,0.9046
1972,5,1,157,-0.5235
1972,5,2,143,0.8487
1972,5,3,158,1.4234
1972,5,4,176,-1.7995
1972,5,5,197,2.0609
1972,5,6,192,1.4682
1972,5,7,202,0.9746
1972,5,8,173,3.1015
1972,5,9,219,3.3992
1972,5,10,207,3.6857
1972,6,1,156,-3.0867
1972,6,2,143,-3.0559
1972,6,3,158,-3.8530
1972,6,4,176,-2.7418
1972,6,5,197,-2.4445
1972,6,6,192,-3.3350
1972,6,7,202,-3.5529
1972,6,8,173,0.8724
1972,6,9,219,-1.8149
1972,6,10,206,0.3103
1972,7,1,166,-0.6647
1972,7,2,151,-2.0763
1972,7,3,184,-2.1944
1972,7,4,191,-2.3135
1972,7,5,199,-0.2652
1972,7,6,207,-1.6216
1972,7,7,197,-2.0872
1972,7,8,203,-0.7069
1972,7,9,222,1.8294
1972,7,10,215,1.8425
1972,8,1,166,4.0812
1972,8,2,151,6.4281
1972,8,3,184,7.5570
1972,8,4,191,9.3170
1972,8,5,196,7.2816
1972,8,6,206,2.9380
1972,8,7,197,3.3688
1972,8,8,203,-0.4978
1972,8,9,222,0.2029
1972,8,10,214,0.7811
1972,9,1,166,-0.8775
1972,9,2,151,-1.4472
1972,9,3,183,1.0634
1972,9,4,191,-1.5389
1972,9,5,197,-2.0659
1972,9,6,206,-3.2563
1972,9,7,196,-0.8161
1972,9,8,200,-0.0837
1972,9,9,222,-0.6021
1972,9,10,214,0.2437
1972,10,1,164,3.2047
1972,10,2,151,5.1045
1972,10,3,183,2.2695
1972,10,4,191,1.6486
1972,10,5,197,1.7823
1972,10,6,206,1.0873
1972,10,7,196,-2.3829
1972,10,8,200,0.6613
1972,10,9,222,-1.2403
1972,10,10,212,1.8194
1972,11,1,165,6.8825
1972,11,2,151,5.9008
1972,11,3,183,6.7119
1972,11,4,191,7.8200
1972,11,5,197,8.6091
1972,11,6,206,6.5595
1972,11,7,196,6.7023
1972,11,8,199,1.9380
1972,11,9,221,2.8729
1972,11,10,211,0.9715
1972,12,1,164,-2.4097
1972,12,2,150,-0.6047
1972,12,3,183,0.6610
1972,12,4,191,0.4524
1972,12,5,197,0.3807
1972,12,6,206,0.0545
1972,12,7,196,0.9061
1972,12,8,199,3.0329
1972,12,9,221,2.1472
1972,12,10,212,3.0879
1973,1,1,165,-4.0461
1973,1,2,150,-5.4379
1973,1,3,183,-0.9275
1973,1,4,191,-2.2472
1973,1,5,197,-0.1886
1973,1,6,206,-5.0384
1973,1,7,196,-4.7861
1973,1,8,197,-6.8599
1973,1,9,221,0.7163
1973,1,10,212,-0.8002
1973,2,1,165,-2.0794
1973,2,2,149,-3.0810
1973,2,3,183,-5.8220
1973,2,4,191,-4.7953
1973,2,5,196,-6.9430
1973,2,6,206,-5.4781
1973,2,7,196,-4.7052
1973,2,8,196,-2.9636
1973,2,9,220,-2.1085
1973,2,10,212,-2.8837
1973,3,1,164,-1.0473
1973,3,2,149,-1.5567
1973,3,3,183,1.7218
1973,3,4,191,1.2446
1973,3,5,195,1.8851
1973,3,6,206,-2.0098
1973,3,7,196,-2.0925
1973,3,8,194,-0.7772
1973,3,9,220,-1.9449
1973,3,10,211,-0.7734
1973,4,1,164,-1.9132
1973,4,2,149,-2.1574
1973,4,3,183,-1.5993
1973,4,4,191,-5.2558
1973,4,5,195,-2.4344
1973,4,6,204,-5.0083
1973,4,7,195,-5.3042
1973,4,8,195,-6.1619
1973,4,9,219,-6.0896
1973,4,10,211,-5.4463
1973,5,1,164,-1.9340
1973,5,2,149,-1.1686
1973,5,3,183,-3.3919
1973,5,4,191,-2.6724
1973,5,5,194,-3.5176
1973,5,6,203,-1.8339
1973,5,7,196,-2.5808
1973,5,8,195,-1.9761
1973,5,9,218,-0.8986
1973,5,10,210,-0.2516
1973,6,1,164,-1.2534
1973,6,2,149,-3.0668
1973,6,3,181,-1.2740
1973,6,4,191,-0.1522
1973,6,5,194,-0.5548
1973,6,6,202,-2.6785
1973,6,7,194,-2.2337
1973,6,8,195,-0.5718
1973,6,9,215,-0.4333
1973,6,10,208,-1.1353
1973,7,1,238,1.6099
1973,7,2,212,3.1508
1973,7,3,239,1.8185
1973,7,4,219,9.0361
1973,7,5,276,7.2270
1973,7,6,248,2.3221
1973,7,7,247,7.9794
1973,7,8,266,7.7516
1973,7,9,321,7.8628
1973,7,10,306,3.9356
1973,8,1,238,-2.0301
1973,8,2,212,-1.4242
1973,8,3,239,-3.9238
1973,8,4,219,-1.2037
